locs,techs,timesteps,resource
region2,demand_power,2017-01-11 04:00:00,-54.37
region2,demand_power,2017-01-11 05:00:00,-59.36
region2,demand_power,2017-01-11 06:00:00,-64.56
region2,demand_power,2017-01-11 07:00:00,-67.3
region2,demand_power,2017-01-11 08:00:00,-68.67
region2,demand_power,2017-01-11 09:00:00,-69.97
region2,demand_power,2017-01-11 10:00:00,-70.96
region2,demand_power,2017-01-11 11:00:00,-70.47
region2,demand_power,2017-01-11 12:00:00,-69.29
region2,demand_power,2017-01-11 13:00:00,-68.07
region2,demand_power,2017-01-11 14:00:00,-67.46
region2,demand_power,2017-01-11 15:00:00,-67.92
region2,demand_power,2017-01-11 16:00:00,-70.36
region2,demand_power,2017-01-11 17:00:00,-71.15
region2,demand_power,2017-01-11 18:00:00,-69.72
region2,demand_power,2017-01-11 19:00:00,-66.11
region2,demand_power,2017-01-11 20:00:00,-63.17
region2,demand_power,2017-01-11 21:00:00,-61.35
region2,demand_power,2017-01-11 22:00:00,-57.59
region2,demand_power,2017-01-11 23:00:00,-54.47
region2,demand_power,2017-01-12 00:00:00,-50.98
region2,demand_power,2017-01-12 01:00:00,-50.03
region2,demand_power,2017-01-12 02:00:00,-50.08
region2,demand_power,2017-01-12 03:00:00,-50.92
region2,demand_power,2017-01-12 04:00:00,-52.86
region2,demand_power,2017-01-12 05:00:00,-57.85
region2,demand_power,2017-01-12 06:00:00,-63.05
region2,demand_power,2017-01-12 07:00:00,-65.79
region2,demand_power,2017-01-12 08:00:00,-67.16
region2,demand_power,2017-01-12 09:00:00,-68.46
region2,demand_power,2017-01-12 10:00:00,-69.45
region2,demand_power,2017-01-12 11:00:00,-68.96
region2,demand_power,2017-01-12 12:00:00,-67.78
region2,demand_power,2017-01-12 13:00:00,-66.56
region2,demand_power,2017-01-12 14:00:00,-65.95
region2,demand_power,2017-01-12 15:00:00,-66.41
region2,demand_power,2017-01-12 16:00:00,-68.85
region2,demand_power,2017-01-12 17:00:00,-69.64
region2,demand_power,2017-01-12 18:00:00,-68.21
region2,demand_power,2017-01-12 19:00:00,-64.6
region2,demand_power,2017-01-12 20:00:00,-61.66
region2,demand_power,2017-01-12 21:00:00,-59.84
region2,demand_power,2017-01-12 22:00:00,-56.08
region2,demand_power,2017-01-12 23:00:00,-52.96
region2,demand_power,2017-01-13 00:00:00,-50.21
region2,demand_power,2017-01-13 01:00:00,-49.26
region2,demand_power,2017-01-13 02:00:00,-49.3
region2,demand_power,2017-01-13 03:00:00,-50.15
region2,demand_power,2017-01-13 04:00:00,-52.09
region2,demand_power,2017-01-13 05:00:00,-57.08
region2,demand_power,2017-01-13 06:00:00,-62.27
region2,demand_power,2017-01-13 07:00:00,-65.02
region2,demand_power,2017-01-13 08:00:00,-66.39
region2,demand_power,2017-01-13 09:00:00,-67.68
region2,demand_power,2017-01-13 10:00:00,-68.68
region2,demand_power,2017-01-13 11:00:00,-68.19
region2,demand_power,2017-01-13 12:00:00,-67.01
region2,demand_power,2017-01-13 13:00:00,-65.79
region2,demand_power,2017-01-13 14:00:00,-65.18
region2,demand_power,2017-01-13 15:00:00,-65.64
region2,demand_power,2017-01-13 16:00:00,-68.08
region2,demand_power,2017-01-13 17:00:00,-68.87
region2,demand_power,2017-01-13 18:00:00,-67.44
region2,demand_power,2017-01-13 19:00:00,-63.83
region2,demand_power,2017-01-13 20:00:00,-60.89
region2,demand_power,2017-01-13 21:00:00,-59.07
region2,demand_power,2017-01-13 22:00:00,-55.31
region2,demand_power,2017-01-13 23:00:00,-52.19
region2,demand_power,2017-01-14 00:00:00,-42.24
region2,demand_power,2017-01-14 01:00:00,-41.29
region2,demand_power,2017-01-14 02:00:00,-41.34
region2,demand_power,2017-01-14 03:00:00,-42.18
region2,demand_power,2017-01-14 04:00:00,-44.13
region2,demand_power,2017-01-14 05:00:00,-49.11
region2,demand_power,2017-01-14 06:00:00,-54.31
region2,demand_power,2017-01-14 07:00:00,-57.05
region2,demand_power,2017-01-14 08:00:00,-58.42
region2,demand_power,2017-01-14 09:00:00,-59.72
region2,demand_power,2017-01-14 10:00:00,-60.71
region2,demand_power,2017-01-14 11:00:00,-60.23
region2,demand_power,2017-01-14 12:00:00,-59.04
region2,demand_power,2017-01-14 13:00:00,-57.82
region2,demand_power,2017-01-14 14:00:00,-57.22
region2,demand_power,2017-01-14 15:00:00,-57.67
region2,demand_power,2017-01-14 16:00:00,-60.11
region2,demand_power,2017-01-14 17:00:00,-60.91
region2,demand_power,2017-01-14 18:00:00,-59.47
region2,demand_power,2017-01-14 19:00:00,-55.86
region2,demand_power,2017-01-14 20:00:00,-52.92
region2,demand_power,2017-01-14 21:00:00,-51.1
region2,demand_power,2017-01-14 22:00:00,-47.34
region2,demand_power,2017-01-14 23:00:00,-44.22
region2,demand_power,2017-01-15 00:00:00,-39.02
region2,demand_power,2017-01-15 01:00:00,-38.07
region2,demand_power,2017-01-15 02:00:00,-38.12
region2,demand_power,2017-01-15 03:00:00,-38.96
region2,demand_power,2017-01-15 04:00:00,-40.91
region2,demand_power,2017-01-15 05:00:00,-45.89
region2,demand_power,2017-01-15 06:00:00,-51.09
region2,demand_power,2017-01-15 07:00:00,-53.83
region2,demand_power,2017-01-15 08:00:00,-55.2
region2,demand_power,2017-01-15 09:00:00,-56.5
region2,demand_power,2017-01-15 10:00:00,-57.49
region2,demand_power,2017-01-15 11:00:00,-57.0
region2,demand_power,2017-01-15 12:00:00,-55.82
region2,demand_power,2017-01-15 13:00:00,-54.6
region2,demand_power,2017-01-15 14:00:00,-53.99
region2,demand_power,2017-01-15 15:00:00,-54.45
region2,demand_power,2017-01-15 16:00:00,-56.89
region2,demand_power,2017-01-15 17:00:00,-57.69
region2,demand_power,2017-01-15 18:00:00,-56.25
region2,demand_power,2017-01-15 19:00:00,-52.64
region2,demand_power,2017-01-15 20:00:00,-49.7
region2,demand_power,2017-01-15 21:00:00,-47.88
region2,demand_power,2017-01-15 22:00:00,-44.12
region2,demand_power,2017-01-15 23:00:00,-41.0
region2,demand_power,2017-01-16 00:00:00,-51.62
region2,demand_power,2017-01-16 01:00:00,-50.67
region2,demand_power,2017-01-16 02:00:00,-50.71
region2,demand_power,2017-01-16 03:00:00,-51.55
region2,demand_power,2017-01-16 04:00:00,-53.5
region2,demand_power,2017-01-16 05:00:00,-58.49
region2,demand_power,2017-01-16 06:00:00,-63.68
region2,demand_power,2017-01-16 07:00:00,-66.42
region2,demand_power,2017-01-16 08:00:00,-67.8
region2,demand_power,2017-01-16 09:00:00,-69.09
